NOME;NUM;LAT;LON;SEQ;GRUPO;SENTIDO;TIPO;ITINERARY_ID;CODE
Av. Prefeito Omar Sabag. 213 - Jardim Botanico;140553;-25.44232542473;-49.247905940956;12;;Santa Bárbara;Novo mobiliário;1735;461
Rua Francisco Castellano. 186 -Jardim das Américas;140580;-25.472101258767;-49.223410667128;30;;Santa Bárbara;Sem demarcação;1735;461
Rua Cel. Francisco Heráclito dos Santos. 519 - Guabirotuba;140169;-25.45246;-49.22982;17;;Praça Rui Barbosa;Novo mobiliário;683;461
Rua Cel. Francisco Heráclito dos Santos. 791 - Guabirotuba;140171;-25.4551;-49.23077;16;;Praça Rui Barbosa;Novo mobiliário;683;461
Rua Frei Francisco Sampaio. 49- Jardim das Américas;140565;-25.460377070917;-49.229964644855;12;;Praça Rui Barbosa;Chapéu chinês;683;461
Rua André Petreli. 88 Jardim das Américas;140573;-25.465216781717;-49.225809903091;8;;Praça Rui Barbosa;Chapéu chinês;683;461
Rua João Negrão. 510 - Centro;110155;-25.433734353726;-49.265016423912;3;;Santa Bárbara;Placa em cano;1735;461
Rua João Negrão. 1408 - Centro;110145;-25.441763500043;-49.261036695189;6;;Santa Bárbara;Novo mobiliário;1735;461
Av. Prof. Lothário Meissner. 71 - Jardim Botanico;140554;-25.443818629959;-49.244377494997;13;;Santa Bárbara;Novo mobiliário;1735;461
Av. Prof. Lothário Meissner. 840 - Jardim Botânico;140557;-25.444048724821;-49.237115414089;15;;Santa Bárbara;Novo mobiliário;1735;461
Rua Engenheiros Rebouças. 1296 - Rebouças;110173;-25.440844952082;-49.257091165728;26;;Praça Rui Barbosa;Chapéu chinês;683;461
Rua Coronel João da Silva Sampaio. 27 - Jardim Botanico;140551;-25.440551235487;-49.24865695948;23;;Praça Rui Barbosa;Novo mobiliário;683;461
Rua Doutor Hugo de Barros. 18 - Jardim das Américas;140560;-25.459441072359;-49.23233437652;14;;Praça Rui Barbosa;Chapéu chinês;683;461
Rua Pedro Demeterco. 681 - Jardim das Américas;140660;-25.459892725871;-49.228868962473;11;;Praça Rui Barbosa;Chapéu chinês;683;461
Rua José de Melo Braga Júnior. 623- Jardim das Américas;140575;-25.466859841669;-49.224661917633;7;;Praça Rui Barbosa;Chapéu chinês;683;461
Rua Procópio Ferreira Martins. 96 - Cajuru;140291;-25.451123359031;-49.226159387732;18;;Praça Rui Barbosa;Chapéu chinês;683;461
R. André de Barros. 360 - Centro;110152;-25.435077133935;-49.269267754631;2;;Santa Bárbara;Placa em poste;1735;461
Av. Prof. Lothário Meissner - Jardim Botânico;140556;-25.444224323235;-49.242752076334;14;;Santa Bárbara;Novo mobiliário;1735;461
Rua Monsenhor Lamartine. 3 - Jardim das Américas;140576;-25.468274041845;-49.224620343393;28;;Santa Bárbara;Placa em cano;1735;461
Rua Professor Paulo D'Assumpç¿o. 875 - Uberaba;140661;-25.471705080066;-49.220264106989;31;;Santa Bárbara;Sem demarcação;1735;461
Rua Professor Paulo D'Assumpção. 1250 - Uberaba;140584;-25.47430622144;-49.218318734359;1;;Praça Rui Barbosa;Chapéu chinês;683;461
Av. Visconde de Guarapuava. 2324 - Centro;140205;-25.435186762549;-49.264932603783;30;;Praça Rui Barbosa;Novo mobiliário;683;461
Rua Monsenhor Lamartine. 1- Jardim das Américas;140577;-25.468366061143;-49.224608273453;6;;Praça Rui Barbosa;Chapéu chinês;683;461
Rua Professor Paulo D'Assumpção. 1250 - Uberaba;140584;-25.47430622144;-49.218318734359;32;;Santa Bárbara;Chapéu chinês;1735;461
Rua Cel. Francisco Heráclito dos Santos. 392 - Jardim das Américas;140168;-25.452491327986;-49.230178775463;17;;Santa Bárbara;Novo mobiliário;1735;461
Rua Doutor Hugo de Barros. 142 - Jardim das Américas;140563;-25.460004125404;-49.231223941988;21;;Santa Bárbara;Placa em poste;1735;461
Rua Eduardo Couture. 213 - Jardim das Américas;140570;-25.463624554092;-49.226556898302;25;;Santa Bárbara;Placa em poste;1735;461
Rua Francisco Castellano. 411 - Jardim das Américas;140578;-25.470049033262;-49.22499719376;29;;Santa Bárbara;Sem demarcação;1735;461
Av. Prof. Lothário Meissner. 70 - Jardim Botanico;140555;-25.443621232439;-49.244156212753;21;;Praça Rui Barbosa;Novo mobiliário;683;461
Rua Cel. Francisco Heráclito dos Santos. 1071 - Jardim das Américas;140173;-25.457753108305;-49.232024581379;15;;Praça Rui Barbosa;Novo mobiliário;683;461
Rua Francisco Castellano. 410-Jardim das Américas;140579;-25.469959436779;-49.224948913998;5;;Praça Rui Barbosa;Chapéu chinês;683;461
