NOME,NUM,LAT,LON
Rua Roraima. 1215 - Cajuru,140654,-25.453522187987,-49.211603906746
Rua Nicolau José Gravina. 1962 - Cascatinha,190329,-25.41019825945,-49.323124469465
Rua Paula Prevedello Gusso. 1023 - Boa Vista,120902,-25.378709634623,-49.254610790803
R. Dr. Roberto Barrozo. 252 - Centro Cívico,110130,-25.418021755742,-49.272305872812
Av. Prefeito Erasto Gaertner. 1611 - Bacacheri,130016,-25.396633059474,-49.232898046627
Rua José Hauer. 278 - Uberaba,140497,-25.498661842881,-49.218746472387
Rua Professor Algacir Munhoz Mader. 195 - Cidade Industrial,170287,-25.49423957091,-49.311347505259
Rua Itaúna do Sul. 276 - Alto Boqueirão,160461,-25.531612659286,-49.233946647816
Rua Professor Francisco Zardo. 35 - Santa Felicidade,190163,-25.403264151327,-49.335898030927
Rua Ismael de Almeida - Campo de Santana,170962,-25.5944396,-49.3448075
Rua Delegado Leopoldo Belczak. 2240 - Cristo Rei,130873,-25.440998904255,-49.213924090834
Rua Maurício Thá. 103 - Uberaba,140766,-25.491098787533,-49.213476935523
Rua Carlota Straube de Araújo. 329 - Boa Vista,120655,-25.389710834198,-49.252571365337
Rua Brasílio Cuman. 566 - São Braz,190258,-25.409242488974,-49.355103106445
Rua Albino Kaminski. 775 - Bairro Alto,130514,-25.40885,-49.20079
Rua José Benedito Cotolengo. 1222 - Campo Comprido,180555,-25.461691279973,-49.330282793875
Rua José Giraide. 662 - Cajuru,140432,-25.44663302322,-49.20629146809
Rua Presidente Carlos Cavalcanti. 1436 - Centro,110432,-25.424316833441,-49.278946816921
Rua Artur Müller. 410 - Xaxim,150807,-25.521705985688,-49.267876909848
Rua Francisco Frischman. 718 - Portão,180971,-25.46799192961,-49.295588911718
Rua Ângelo Gai. 1059 - Umbara,160394,-25.581445646358,-49.293860228008
R. Waldemar Loureiro Campos. 3043 - Boqueirão,150312,-25.509307003022,-49.252079504299
